osm_type,osm_id,name,lat,lon,holes_tag,fairways,hole_lines,tier
way,282129955,Pine Hills Golf Course,42.89421,-84.33578,,0,0,raster
way,282331115,Gladstone Golf Club,45.89622,-87.03694,,0,0,raster
way,282731284,Indian Lake Golf and Country Club,46.00658,-86.29645,,0,0,raster
way,283511187,Sweetgrass Golf Club,45.69169,-87.34095,,15,18,vector
way,283590153,Woody’s Run Public Golf Course,45.79953,-87.16715,,0,0,raster
way,283892959,Indian Hills Golf Course,45.43335,-87.61743,,0,0,raster
way,284666057,Marquette Trails Country Club,43.84705,-85.92332,,0,0,raster
way,285977717,Pine Grove Country Club,45.82244,-88.09143,,2,18,partial
way,286794005,Iron River Country Club,46.06933,-88.64626,,0,0,raster
way,287510717,Coyote Golf Club,42.49485,-83.60837,,0,0,raster
way,288044552,Cadillac Country Club,44.22728,-85.4693,,17,18,vector
way,288044554,Eldorado,44.20491,-85.42102,,0,0,raster
way,288044555,Fawn Crest Golf Course,44.23025,-85.95719,,0,0,raster
way,288044556,Evergreen Resort,44.22834,-85.40876,,14,18,vector
way,288534116,Petoskey - Bay View Country Club,45.38504,-84.91951,,5,0,partial
way,288534118,Stoney Links Golf Course (closed),45.35253,-84.18641,,0,0,raster
way,288534121,Wildwood Lake Golf Course,45.23912,-84.56409,,0,0,raster
way,288630221,Red Arrow Golf Course,42.29246,-85.56937,,0,0,raster
way,288727411,Elk Ridge Golf Club,45.08572,-84.18884,,0,0,raster
way,288727413,Gaylord Country Club,45.03832,-84.78119,,17,18,vector
way,288727417,Marsh Ridge Golf Course and Resort,44.96413,-84.67725,,1,1,raster
way,288727420,The Loon Golf Resort,44.96571,-84.66766,,1,17,partial
way,289002695,Ye Olde Country Club,44.49709,-84.63036,,0,0,raster
way,289314040,Eagle Ridge Golf Club,44.55303,-83.71947,,18,18,vector
way,289314043,Loggers Trace,44.64024,-83.31406,,0,0,raster
way,289470369,Birch Pointe Golf Club,44.35191,-84.46661,,5,9,partial
way,289470377,Lakeside Golf Course,44.11174,-84.43105,,21,9,vector
way,289490420,Emerald Vale Golf Club,44.41432,-85.44718,,0,0,raster
way,289661526,Bear Lake Highlands,44.41172,-86.14124,,0,0,raster
way,289661527,Chestnut Hills,44.48717,-86.1486,,0,0,raster
way,289672353,Lac Vieux Desert Golf Course,46.2876,-89.17293,,20,18,vector
way,289755793,Shamrock Hills Golf Club,42.40096,-85.85382,,2,18,partial
way,289765450,Chikaming Country Club,41.84316,-86.66277,,15,0,vector
way,289800493,Chase Hammond Golf Club,43.30407,-86.20756,,0,0,raster
way,289800512,Golden Sands Golf Course,43.69104,-86.46881,,0,0,raster
way,289800516,Hemlock Golf Club,43.98693,-86.40242,,5,19,partial
way,289800518,Lakeside Links,43.90082,-86.40822,,0,0,raster
way,289800519,Lincoln Golf Course,43.34502,-86.28711,,0,0,raster
way,289800530,Village Green Golf Club,43.40558,-85.85568,,15,18,vector
way,289926030,Gladwin Heights Golf Course,43.97712,-84.51604,,0,0,raster
way,289926038,Pohlcat,43.62646,-84.71615,,20,18,vector
way,289926043,The Tamaracks Golf Course,44.11111,-84.78428,,6,18,partial
way,289926046,White Deer Country Club,44.29505,-84.66589,,18,18,vector
way,289965812,Kimberly Oaks Golf Club,43.30266,-84.16082,,0,0,raster
way,289965813,Lapeer Country Club,43.0278,-83.37172,,0,0,raster
way,289965823,Washakie Golf and RV Resort,43.21055,-83.21974,,0,0,raster
way,290070926,Blythefield Country Club,43.06897,-85.58841,,18,18,vector
way,290070927,Crystal Golf Course,43.2585,-84.95047,,0,0,raster
way,290070929,Lake Monterey Golf Course,42.69391,-85.82182,,0,14,partial
way,290070931,Sparta Moose Lodge Golf Course,43.17125,-85.66847,,2,0,raster
way,290070936,Yankee Springs Golf Course,42.66546,-85.53094,,0,1,raster
way,290222129,Park Shore Golf Course,41.90072,-86.00471,,0,0,raster
